Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Faculty/Imports/svg_Dr PC Senthil Mahesh_svg-inline--fa fa-_fb601b""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:46,2021-03-08 18:18:47,0.942s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/a_Faculty""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:47,2021-03-08 18:18:48,0.963s,PASSED
"click(findTestObject(""Object Repository/Faculty/Class Schedule/img""))",Chrome 87.0.4280.141,,,2021-03-08 18:18:48,2021-03-08 18:18:49,1.044s,PASSED
delay(10),Chrome 87.0.4280.141,,,2021-03-08 18:18:49,2021-03-08 18:18:59,10.016s,PASSED
takeScreenshot(),Chrome 87.0.4280.141,,,2021-03-08 18:18:59,2021-03-08 18:19:00,0.606s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/svg_Dr. P.C. Senthil Mahesh_svg-inline--fa _bc1b97""))",Chrome 87.0.4280.141,,,2021-03-08 18:19:00,2021-03-08 18:19:00,0.812s,PASSED
"click(findTestObject(""Object Repository/Faculty/Notifications/button_logout""))",Chrome 87.0.4280.141,,,2021-03-08 18:19:00,2021-03-08 18:19:01,0.965s,PASSED
closeBrowser(),Chrome 87.0.4280.141,,,2021-03-08 18:19:01,2021-03-08 18:19:02,0.694s,PASSED
,,,,,,,
Test Cases/Web/Faculty/Mentoring,Chrome 87.0.4280.141,Mentoring,Mentoring,2021-03-08 18:19:02,2021-03-08 18:19:41,39.260s,PASSED
